block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
b_3-24-1,24,1,1,Polo Park,1222,4_merged_61274,13212_merged_74404
a_1-18-4,18,1,1,Tuxedo,1107,4_merged_61272,1650_merged_67897
a_1-26-5,26,1,1,City Hall,1226,4_merged_61272,2862_merged_63646
a_1-36-6,36,1,1,Health Sciences Centre,1273,4_merged_61272,3555_merged_70094
b_2-21-2,21,1,1,City Hall,1189,3,9471_merged_77418
a_1-44-9,44,1,1,Broadway via London,1301,4_merged_61272,3941_merged_67443
b_2-92-1,92,1,0,Lakeside Meadows,1534,3,11614_merged_75782
a_1-47-2,47,1,1,Balmoral Station,1333,4_merged_61272,4269_merged_67931
a_1-85-5,85,1,1,Henderson & Whellams,1499,4_merged_61272,6774
a_3-17-1,17,1,0,Amber Trails,1082,2_merged_61271,13270_merged_63989
b_1-90-7,90,1,0,Kildonan Place,1525,2_merged_61273,6770
a_1-85-5,85,1,1,Henderson & Whellams,1499,4_merged_61272,6772
b_1-66-7,66,1,0,Polo Park,1400,2_merged_61273,5256_merged_79330
b_1-16-9,16,1,0,Tyndall Park via Manitoba,1020,2_merged_61273,1250_merged_75959
a_2-77-6,77,1,0,Polo Park,1446,1,11557_merged_65793
a_1-12-4,12,1,1,City Hall,943,4_merged_61272,679_merged_69963
b_2-15-1,15,1,1,Mountain & Fife,969,3,8723_merged_76155
a_2-89-1,89,1,0,North Transcona,1518,1,11836_merged_61998
a_3-38-1,38,1,0,Templeton & McPhillips,1278,2_merged_61271,13803_merged_70357
b_3-99-1,99,1,0,Windermere & Pembina,1577,4_merged_61274,14312_merged_76508
b_1-11-12,11,1,1,Glenway,889,2_merged_61273,390_merged_70835
b_1-20-6,20,1,1,Airport Terminal,1179,2_merged_61273,2147_merged_78620
b_3-85-1,85,1,1,Henderson & Whellams,1499,4_merged_61274,14122_merged_72877
a_2-20-2,20,1,1,Airport Terminal,1179,1,9774_merged_61844
b_2-66-2,66,1,1,Downtown,1401,3,10691_merged_75085
b_3-170-4,170,1,0,St. Norbert,1102,4_merged_61274,14576_merged_74637
a_1-170-1,170,1,0,University of Manitoba,1098,4_merged_61272,8254_merged_65051
b_2-72-1,72,1,1,University of Manitoba,1939,3,10971_merged_73161
a_1-21-17,21,1,0,Grace Hospital,1190,4_merged_61272,2487_merged_65630
a_1-11-18,11,1,0,Polo Park,888,4_merged_61272,454_merged_63179
b_1-28-4,58,1,1,City Hall,1378,2_merged_61273,2763_merged_71896
b_6-170-52,170,1,0,University of Manitoba,1098,19327-special,19327
b_1-29-15,29,1,1,Logan,1237,2_merged_61273,2986_merged_73599
a_1-77-18,46,1,1,Plessis & Regent,1327,4_merged_61272,6350_merged_63937
b_6-60-52,60,1,0,University of Manitoba,1387,18580-special,18580
b_1-19-5,19,1,0,Red River College via Logan,1157,2_merged_61273,1916_merged_72328
a_1-33-3,33,1,0,Maples via Mapleglen,1929,4_merged_61272,3322_merged_63999
a_3-33-1,33,1,0,Maples via Mapleglen,1931,2_merged_61271,13719_merged_63207
b_2-19-4,19,1,0,Red River College via Notre Dame,1161,3,9338_merged_77940
a_3-29-2,29,1,1,Logan,1237,2_merged_61271,13693_merged_62738
a_2-99-2,99,1,1,Downtown,1578,1,12197_merged_70187
a_1-83-1,83,1,1,Grace Hospital,1490,4_merged_61272,6641_merged_62337
b_1-17-10,17,1,0,Maples,1079,2_merged_61273,1515_merged_75178
a_1-18-9,18,1,0,Riverbend,1111,4_merged_61272,1749_merged_70615
a_3-11-3,11,1,0,Westwood,919,2_merged_61271,12745_merged_67623
b_2-94-1,94,1,1,Walmart & Kenaston,2066,3,11712_merged_79626
b_2-19-4,19,1,0,Red River College via Notre Dame,1162,3,9332
b_1-60-4,60,1,1,Downtown,1388,2_merged_61273,5059
a_1-59-2,75,1,0,University of Manitoba,2217,4_merged_61272,5055
b_1-60-4,60,1,0,University of Manitoba,1387,2_merged_61273,5056
b_1-60-4,60,1,1,Downtown,1388,2_merged_61273,5057
a_1-79-5,79,1,0,Westdale via Kenaston,1477,4_merged_61272,6597_merged_65402
b_1-60-3,60,1,0,University of Manitoba,1387,2_merged_61273,5052
b_2-71-4,71,1,1,Portage via Sinclair,1422,3,10949_merged_77402
a_1-75-7,75,1,0,University of Manitoba,1437,4_merged_61272,6117_merged_66045
a_2-99-1,99,1,0,Misericordia Health Centre,1574,1,12162_merged_62968
b_2-33-4,33,1,1,Downtown,1930,3,9951_merged_76224
b_1-11-20,11,1,0,St. Charles,906,2_merged_61273,497_merged_71983
a_1-11-17,11,1,1,North Kildonan via Rothesay,903,4_merged_61272,444_merged_67763
b_2-60-3,60,1,0,University of Manitoba,1387,3,10592_merged_72561
b_1-12-2,12,1,1,City Hall,943,2_merged_61273,639_merged_78694
b_1-45-5,45,1,1,Downtown,1311,2_merged_61273,3942_merged_76855
b_6-84-50,84,1,1,Fort Rouge Station,1950,18893-special,18893
b_6-84-50,84,1,0,Walmart & Kenaston,1949,18892-special,18892
b_6-84-50,84,1,1,Fort Rouge Station,1950,18891-special,18891
b_6-84-50,84,1,0,Walmart & Kenaston,1949,18890-special,18890
b_1-162-16,162,1,0,University of Manitoba,1055,2_merged_61273,7739_merged_72318
b_6-84-50,84,1,1,Fort Rouge Station,1950,18895-special,18895
b_6-84-50,84,1,0,Walmart & Kenaston,1949,18894-special,18894
b_6-85-50,85,1,1,Henderson & Whellams,1499,18899-special,18899
b_6-85-50,85,1,0,Kildonan Place,1500,18898-special,18898
a_2-19-4,19,1,1,Windsor Park via Drake,1153,1,9716_merged_62161
a_2-33-1,33,1,0,Maples via Jefferson,1928,1,10247_merged_66153
a_3-17-2,17,1,0,Seven Oaks Hospital,1084,2_merged_61271,13297_merged_66338
a_1-99-2,99,1,1,Downtown,1578,4_merged_61272,7533_merged_67509
a_1-18-7,18,1,1,Tuxedo,1107,4_merged_61272,1716_merged_66708
a_2-93-1,93,1,0,Highbury & Southfields,1538,1,12015_merged_61304
b_3-17-2,17,1,1,Misericordia Health Centre,1085,4_merged_61274,12911_merged_73883
b_6-75-50,75,1,0,University of Manitoba,1437,18769-special,18769
b_6-75-50,75,1,1,Kildonan Place,1434,18768-special,18768
b_1-47-6,47,1,1,Balmoral Station,1331,2_merged_61273,4159_merged_78747
b_6-75-50,75,1,0,University of Manitoba,1437,18761-special,18761
b_6-75-50,75,1,0,University of Manitoba,1437,18763-special,18763
b_6-75-50,75,1,1,Kildonan Place,1434,18762-special,18762
b_6-75-50,75,1,0,University of Manitoba,1437,18765-special,18765
b_6-75-50,75,1,1,Kildonan Place,1434,18764-special,18764
b_6-75-50,75,1,0,University of Manitoba,1437,18767-special,18767
b_6-75-50,75,1,1,Kildonan Place,1434,18766-special,18766
b_2-18-6,18,1,1,Assiniboine Park,1127,3,9155_merged_71888
a_2-55-1,55,1,1,U of Winnipeg via Meadowood,1366,1,10819_merged_64589
b_2-99-2,99,1,0,Windermere & Pembina,1577,3,11848_merged_75196
a_2-11-8,11,1,1,North Kildonan via Rothesay,903,1,8749_merged_65727
a_1-99-2,99,1,0,Windermere & Pembina,1577,4_merged_61272,7538_merged_68650
a_1-99-2,99,1,1,Downtown,1578,4_merged_61272,7527_merged_63732
a_1-137-11,54,1,0,St. Amant,1360,4_merged_61272,7699_merged_63711
a_2-85-2,85,1,1,Henderson & Whellams,1499,1,11819_merged_62372
a_2-24-5,24,1,1,City Hall,1219,1,10056_merged_70392
a_1-79-3,21,1,1,City Hall,1195,4_merged_61272,6534_merged_64375
a_3-20-1,20,1,0,Watt & Leighton,1178,2_merged_61271,13548_merged_65979
a_1-160-6,160,1,1,Downtown,1052,4_merged_61272,7833_merged_68864
a_1-92-2,92,1,0,Lakeside Meadows,1534,4_merged_61272,7105_merged_62694
a_1-162-5,162,1,0,St. Norbert,1056,4_merged_61272,7912_merged_69680
b_1-163-3,163,1,1,Downtown,1074,2_merged_61273,7898_merged_79948
b_2-10-2,10,1,1,Wolseley-Provencher via Provencher,871,3,8193_merged_79926
b_2-60-2,60,1,1,Downtown,1388,3,10562_merged_71238
a_1-162-19,162,1,1,Downtown,1057,4_merged_61272,8034
a_1-162-19,162,1,1,Downtown,1059,4_merged_61272,8036
b_1-183-10,183,1,0,Richmond West,1144,2_merged_61273,8032
b_2-95-1,95,1,1,Riverview,1907,3,11742_merged_75729
a_1-162-19,162,1,0,University of Manitoba,1055,4_merged_61272,8039
a_1-162-19,162,1,1,Downtown,1057,4_merged_61272,8038
a_2-162-5,162,1,1,Downtown,1061,1,12581
a_2-162-5,162,1,0,St. Norbert,1062,1,12580
b_3-12-2,12,1,1,City Hall,943,4_merged_61274,12587
b_3-12-2,12,1,0,Polo Park,944,4_merged_61274,12586
a_1-84-2,86,1,0,Bridgwater,1955,4_merged_61272,6706_merged_67456
b_1-59-12,36,1,1,Health Sciences Centre,1273,2_merged_61273,4992_merged_78318
a_1-43-5,75,1,1,Kildonan Place,1436,4_merged_61272,3826_merged_68627
b_3-77-4,45,1,1,Main & Pioneer,1319,4_merged_61274,14033_merged_78977
b_2-66-3,66,1,0,Unicity,1402,3,10723_merged_76420
a_2-92-1,92,1,0,Lakeside Meadows,1534,1,11982_merged_67699
a_3-12-1,12,1,1,City Hall,943,2_merged_61271,12938_merged_64162
a_2-14-7,14,1,0,South St. Vital via Paddington,956,1,9048_merged_65186
b_1-17-2,17,1,0,Amber Trails,1082,2_merged_61273,1406_merged_72448
a_3-45-2,45,1,1,Downtown,1311,2_merged_61271,13980
a_2-47-5,47,1,1,Balmoral Station,1331,1,10745_merged_65568
a_1-98-3,98,1,1,Grace Hospital,1572,4_merged_61272,7452_merged_61389
b_1-21-6,21,1,1,City Hall,1195,2_merged_61273,2266_merged_77770
